"holder_id","household_id","ea_id","rural","pw","parcel_id","field_id","saq01","saq02","saq03","saq04","saq05","saq06","pp_saq07","crop_name","crop_code","pp_s4q02","pp_s4q03","pp_s4q04","pp_s4q05","pp_s4q06","pp_s4q07","pp_s4q08","pp_s4q09","pp_s4q10","pp_s4q11","pp_s4q12_a","pp_s4q12_b","pp_s4q13","pp_s4q14","pp_s4q15","pp_s4q16"
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,1,"RED PEPPER",38,1,,1,2,2,2,1,2,33,1,10,2003,2,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,2,1,"MAIZE",2,1,,1,2,2,2,1,2,25,1,10,2003,2,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,4,1,1,1,16,1,2,1,"SORGHUM",6,1,,1,2,1,2,1,3,25,1,10,2003,2,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,5,1,1,1,16,1,2,1,"RED PEPPER",38,1,,1,2,2,2,1,2,33,1,10,2003,2,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,6,1,1,1,16,1,2,1,"TEFF",7,1,,1,2,2,2,1,2,25,1,10,2003,2,,,
"0101010160100201","01010101601002","01010101601",1,2236.13452148438,1,7,1,1,1,16,1,2,1,"RED PEPPER",38,1,,1,2,2,2,1,2,33,1,10,2003,2,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,1,1,1,1,16,1,2,2,"SORGHUM",6,1,,1,2,2,2,1,3,50,1,10,2003,2,,,
"0101010160100202","01010101601002","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,2,2,"MILLET",3,1,,1,2,1,2,1,2,33,1,10,2003,2,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,2,1,1,1,16,1,17,1,"MAIZE",2,1,,1,2,2,2,1,2,10,1,10,2003,2,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,1,3,1,1,1,16,1,17,1,"RED PEPPER",38,1,,1,2,2,2,1,2,25,1,10,2003,2,,,
"0101010160101701","01010101601017","01010101601",1,2236.13452148438,2,1,1,1,1,16,1,17,1,"MILLET",3,1,,1,2,2,2,1,2,33,1,10,2003,2,,,
